scientific_name,source_taxon_id,canonical_taxon_id,referenced_taxon_id,common_name_fr,common_name_en,common_name_nl,source,reviewer,notes
Columba palumbus,3048,taxon:birds:000001,,Pigeon ramier,Common Wood-Pigeon,Houtduif,inat_all_names_live,,
Corvus corone,204496,taxon:birds:000002,,Corneille noire,Carrion Crow,Zwarte Kraai,inat_all_names_live,,
Cyanistes caeruleus,144849,taxon:birds:000003,,Mésange bleue,Eurasian Blue Tit,Pimpelmees,inat_all_names_live,,
Erithacus rubecula,13094,taxon:birds:000004,,Rougegorge familier,European Robin,Roodborst,inat_all_names_live,,
Fringilla coelebs,10070,taxon:birds:000005,,Pinson des arbres,Common Chaffinch,Vink,inat_all_names_live,,
Garrulus glandarius,8088,taxon:birds:000006,,Geai des chênes,Eurasian Jay,Gaai,inat_all_names_live,,
Motacilla alba,13695,taxon:birds:000007,,Bergeronnette grise,White Wagtail,Witte kwikstaart,inat_all_names_live,,
Parus major,203153,taxon:birds:000008,,Mésange charbonnière,Great Tit,Koolmees,inat_all_names_live,,
Passer domesticus,13858,taxon:birds:000009,,Moineau domestique,House Sparrow,Huismus,inat_all_names_live,,
Pica pica,891696,taxon:birds:000010,,Pie bavarde,Eurasian Magpie,Ekster,inat_all_names_live,,
Sturnus vulgaris,14850,taxon:birds:000011,,Étourneau sansonnet,European Starling,Spreeuw,inat_all_names_live,,
Sylvia atricapilla,15282,taxon:birds:000012,,Fauvette à tête noire,Eurasian Blackcap,Zwartkop,inat_all_names_live,,
Troglodytes troglodytes,145363,taxon:birds:000013,,Troglodyte mignon,Eurasian Wren,Winterkoning,inat_all_names_live,,
Turdus merula,12716,taxon:birds:000014,,Merle noir,Eurasian Blackbird,Merel,inat_all_names_live,,
Turdus philomelos,12748,taxon:birds:000015,,Grive musicienne,Song Thrush,Zanglijster,inat_all_names_live,,
Carduelis carduelis,9398,taxon:birds:000016,,Chardonneret élégant,European Goldfinch,Putter,inat_all_names_live,,
Chloris chloris,145360,taxon:birds:000017,,Verdier d'Europe,European Greenfinch,Groenling,inat_all_names_live,,
Acrocephalus scirpaceus,204455,taxon:birds:000018,,Rousserolle effarvatte,Common Reed Warbler,Kleine Karekiet,inat_all_names_live,,
Coccothraustes coccothraustes,9801,taxon:birds:000019,,Gros-bec casse-noyaux,Hawfinch,Appelvink,inat_all_names_live,,
Phoenicurus ochruros,13000,taxon:birds:000020,,Rougequeue noir,Black Redstart,Zwarte Roodstaart,inat_all_names_live,,
Anas platyrhynchos,6930,taxon:birds:000021,,Canard colvert,Mallard,Wilde Eend,inat_all_names_live,,
Anser anser,7018,taxon:birds:000022,,Oie cendrée,Greylag Goose,Grauwe Gans,inat_all_names_live,,
Cygnus olor,6921,taxon:birds:000023,,Cygne tuberculé,Mute Swan,Knobbelzwaan,inat_all_names_live,,
Fulica atra,482,taxon:birds:000024,,Foulque macroule,Eurasian Coot,Meerkoet,inat_all_names_live,,
Gallinula chloropus,201282,taxon:birds:000025,,Gallinule poule-d'eau,Common Moorhen,Waterhoen,inat_all_names_live,,
Larus michahellis,59202,taxon:birds:000026,,Goéland leucophée,Yellow-legged Gull,Geelpootmeeuw,inat_all_names_live,,
Larus argentatus,204533,taxon:birds:000027,,Goéland argenté,European Herring Gull,Zilvermeeuw,inat_all_names_live,,
Phalacrocorax carbo,4270,taxon:birds:000028,,Grand Cormoran,Great Cormorant,Aalscholver,inat_all_names_live,,
Ardea cinerea,4954,taxon:birds:000029,,Héron cendré,Grey Heron,Blauwe Reiger,inat_all_names_live,,
Egretta garzetta,4943,taxon:birds:000030,,Aigrette garzette,Little Egret,Kleine Zilverreiger,inat_all_names_live,,
Buteo buteo,204472,taxon:birds:000031,,Buse variable,Common Buzzard,Buizerd,inat_all_names_live,,
Accipiter nisus,5106,taxon:birds:000032,,Épervier d'Europe,Eurasian Sparrowhawk,Sperwer,inat_all_names_live,,
Falco tinnunculus,472766,taxon:birds:000033,,Faucon crécerelle,Eurasian Kestrel,Torenvalk,inat_all_names_live,,
Falco peregrinus,4647,taxon:birds:000034,,Faucon pèlerin,Peregrine Falcon,Slechtvalk,inat_all_names_live,,
Strix aluco,19898,taxon:birds:000035,,Chouette hulotte,Tawny Owl,Bosuil,inat_all_names_live,,
Asio otus,20307,taxon:birds:000036,,Hibou moyen-duc,Long-eared Owl,Ransuil,inat_all_names_live,,
Athene noctua,19998,taxon:birds:000037,,Chevêche d'Athéna,Little Owl,Steenuil,inat_all_names_live,,
Picus viridis,144243,taxon:birds:000038,,Pic vert,Eurasian Green Woodpecker,Groene specht,inat_all_names_live,,
Dendrocopos major,17871,taxon:birds:000039,,Pic épeiche,Great Spotted Woodpecker,Grote bonte specht,inat_all_names_live,,
Dryocopus martius,17835,taxon:birds:000040,,Pic noir,Black Woodpecker,Zwarte Specht,inat_all_names_live,,
Apus apus,6638,taxon:birds:000041,,Martinet noir,Common Swift,Gierzwaluw,inat_all_names_live,,
Delichon urbicum,64705,taxon:birds:000042,,Hirondelle de fenêtre,Western House Martin,Huiszwaluw,inat_all_names_live,,
Hirundo rustica,11901,taxon:birds:000043,,Hirondelle rustique,Barn Swallow,Boerenzwaluw,inat_all_names_live,,
Riparia riparia,11941,taxon:birds:000044,,Hirondelle de rivage,Bank Swallow,Oeverzwaluw,inat_all_names_live,,
Alauda arvensis,7347,taxon:birds:000045,,Alouette des champs,Eurasian Skylark,Veldleeuwerik,inat_all_names_live,,
Lanius collurio,12038,taxon:birds:000047,,Pie-grièche écorcheur,Red-backed Shrike,Grauwe Klauwier,inat_all_names_live,,
Coloeus monedula,336399,taxon:birds:000048,,Choucas des tours,Eurasian Jackdaw,Kauw,inat_all_names_live,,
Corvus frugilegus,8029,taxon:birds:000049,,Corbeau freux,Rook,Roek,inat_all_names_live,,
Podiceps cristatus,4208,taxon:birds:000070,,Grèbe huppé,Great Crested Grebe,Fuut,inat_all_names_live,,
Streptopelia decaocto,2969,taxon:birds:000079,,Tourterelle turque,Eurasian Collared-Dove,Turkse Tortel,inat_all_names_live,,
