review_item_id,media_key,source_media_id,observation_id,image_url,local_image_path,scientific_name,common_name_fr,common_name_en,common_name_nl,canonical_taxon_id,source_taxon_id,metadata_join_status,organism_group,evidence_type,review_status,failure_reason,global_quality_score,basic_identification_score,field_observation_score,confusion_learning_score,morphology_learning_score,species_card_score,indirect_evidence_learning_score,policy_status,eligible_database_uses,borderline_database_uses,not_recommended_database_uses,basic_identification_policy,field_observation_policy,confusion_learning_policy,morphology_learning_policy,species_card_policy,indirect_evidence_learning_policy,policy_notes,visible_field_marks_summary,limitations_summary,technical_quality,subject_visibility,diagnostic_feature_visibility,biological_sex_value,biological_life_stage_value,biological_plumage_state_value,biological_seasonal_state_value,human_overall_judgment,human_basic_identification_judgment,human_field_observation_judgment,human_confusion_learning_judgment,human_morphology_learning_judgment,human_species_card_judgment,human_indirect_evidence_learning_judgment,human_evidence_type_judgment,human_field_marks_judgment,human_notes,reviewer_name,reviewed_at
pmp-policy-review-0079,inaturalist::12289438,12289438,9097992,https://inaturalist-open-data.s3.amazonaws.com/photos/12289438/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/12289438.jpg,Streptopelia decaocto,,Eurasian Collared-Dove,,taxon:birds:000079,2969,joined_from_manifest,bird,whole_organism,valid,,59,45,72,52,55,55,,profile_valid,field_observation,confusion_learning|morphology_learning|species_card,basic_identification,not_recommended,eligible,borderline,borderline,borderline,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:general body shape and size,"Subject is very small in frame, limiting diagnostic detail for identification. | The subject is distant and small in the frame, making fine field marks difficult to resolve.",medium,low,low,unknown,adult,unknown,unknown,bonne analyse/classification de la photo. espèce un peu loins sur un banc en bois. ,,,,,,,,,,,
pmp-policy-review-0003,inaturalist::100909260,100909260,62926971,https://inaturalist-open-data.s3.amazonaws.com/photos/100909260/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/100909260.jpeg,Columba palumbus,,Common Wood-Pigeon,,taxon:birds:000001,3048,joined_from_manifest,bird,feather,valid,,96,24,76,39,78,33,92,profile_valid,field_observation|morphology_learning|indirect_evidence_learning,,basic_identification|confusion_learning|species_card,not_recommended,eligible,not_recommended,eligible,not_recommended,eligible,indirect_evidence_interpretation_applied | global_quality_is_broad_signal_not_selection,feather:distinctive white and black patterning of the primary/secondary feather,identification based on feather morphology only | indirect evidence,high,high,high,unknown,unknown,unknown,unknown,bonne analyse mais score global je ne sais pas si c'est bien qu'une plus ait autant malgré une qaulité top pour une photo de plume,,,,,,,,,,,
pmp-policy-review-0012,inaturalist::106685027,106685027,66213618,https://inaturalist-open-data.s3.amazonaws.com/photos/106685027/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/106685027.jpeg,Turdus merula,,Eurasian Blackbird,,taxon:birds:000014,12716,joined_from_manifest,bird,whole_organism,valid,,57,43,71,52,53,54,,profile_valid,field_observation,confusion_learning|morphology_learning|species_card,basic_identification,not_recommended,eligible,borderline,borderline,borderline,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:silhouette and general body shape,Heavy occlusion by vegetation makes precise identification difficult from image alone. | Subject is heavily occluded by branches and berries. | Subject is seen as a dark silhouette against brighter background.,medium,low,low,unknown,adult,unknown,unknown,"bonne analyse, élément distinctif de l'espèce (le bec) pas visible, bon entrainement mais compliqué, mais on voit quand meme la forme générale et la couleure ce qui permet quand meme l'identification",,,,,,,,,,,
pmp-policy-review-0087,inaturalist::124136259,124136259,75876187,https://inaturalist-open-data.s3.amazonaws.com/photos/124136259/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/124136259.jpeg,Passer domesticus,,House Sparrow,,taxon:birds:000009,13858,joined_from_manifest,bird,whole_organism,valid,,74,64,82,60,74,73,,profile_valid,field_observation|morphology_learning|species_card,basic_identification|confusion_learning,,borderline,eligible,borderline,eligible,eligible,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:general sparrow-like body shape,subject is small in frame | dense background foliage clutter | distant subject | subject partially obscured by thin branches,medium,medium,low,unknown,adult,unknown,unknown,"analyse un peu trop critique, l'espèce est claire, bien reconnaissable, bonne qualité technique etc. mais ok comme analyse",,,,,,,,,,,
pmp-policy-review-0023,inaturalist::108991727,108991727,67457256,https://inaturalist-open-data.s3.amazonaws.com/photos/108991727/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/108991727.jpeg,Parus major,,Great Tit,,taxon:birds:000008,203153,joined_from_manifest,bird,whole_organism,valid,,59,45,72,53,55,55,,profile_valid,field_observation,confusion_learning|morphology_learning|species_card,basic_identification,not_recommended,eligible,borderline,borderline,borderline,not_applicable,global_quality_is_broad_signal_not_selection,head:dark head markings,subject heavily obstructed by dense vegetation | subject is distant and significantly occluded by branches,medium,low,low,unknown,adult,unknown,unknown,"bonne analyse, photo ok mais espèce dure a identifier, derrière branches et de dos. ",,,,,,,,,,,
pmp-policy-review-0068,inaturalist::11908352,11908352,8858883,https://inaturalist-open-data.s3.amazonaws.com/photos/11908352/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/11908352.jpg,Gallinula chloropus,,Common Moorhen,,taxon:birds:000025,201282,joined_from_manifest,bird,whole_organism,valid,,76,78,85,68,64,74,,profile_valid,basic_identification|field_observation|species_card,confusion_learning|morphology_learning,,eligible,eligible,borderline,borderline,eligible,not_applicable,global_quality_is_broad_signal_not_selection,head:red frontal shield and bill | wing:white lateral stripe,subject is small in image | subject is distant in frame,medium,medium,medium,unknown,adult,unknown,unknown,"subject is small in image | subject is distant in frame. photo de qualité moyenne/basse, mauvaise qualité technique/cadrage/distance mais quand meme reconnaissable",,,,,,,,,,,
pmp-policy-review-0002,inaturalist::100906257,100906257,62926159,https://inaturalist-open-data.s3.amazonaws.com/photos/100906257/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/100906257.jpeg,Fulica atra,,Eurasian Coot,,taxon:birds:000024,482,joined_from_manifest,bird,whole_organism,valid,,90,95,88,84,81,86,,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,eligible,eligible,eligible,eligible,eligible,not_applicable,global_quality_is_broad_signal_not_selection,head:white frontal shield | whole_body:solid dark plumage,significant occlusion due to foliage | partial occlusion by branches,medium,medium,high,unknown,adult,unknown,unknown,,,,,,,,,,,,
pmp-policy-review-0024,inaturalist::109009676,109009676,67467251,https://inaturalist-open-data.s3.amazonaws.com/photos/109009676/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/109009676.jpeg,Buteo buteo,,Common Buzzard,,taxon:birds:000031,204472,joined_from_manifest,bird,whole_organism,valid,,84,87,85,74,74,81,,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,eligible,eligible,eligible,eligible,eligible,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:overall raptor shape and plumage,subject partially obstructed by tree branches | partially obscured by branches,medium,medium,medium,unknown,adult,unknown,unknown,"bonne analyse, je rajouterais photo floue et techniquement de qualité moyenne/basse",,,,,,,,,,,
pmp-policy-review-0055,inaturalist::113277588,113277588,69763877,https://inaturalist-open-data.s3.amazonaws.com/photos/113277588/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/113277588.jpeg,Falco tinnunculus,,Eurasian Kestrel,,taxon:birds:000033,472766,joined_from_manifest,bird,whole_organism,valid,,75,73,82,73,71,74,,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,eligible,eligible,eligible,eligible,eligible,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:silhouette and wing shape,"long distance, subject is small in frame | distance to subject limits resolution of fine details",medium,medium,medium,unknown,adult,unknown,unknown,"+_ bonne analyse, espèce quand meme largement reconnaissable, en vol bien cadrée, un peu flou de mouvement, qualité technique pas ouf, bonne analyse et classement globalement",,,,,,,,,,,
pmp-policy-review-0005,inaturalist::101912004,101912004,63497514,https://inaturalist-open-data.s3.amazonaws.com/photos/101912004/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/101912004.jpeg,Troglodytes troglodytes,,Eurasian Wren,,taxon:birds:000013,145363,joined_from_manifest,bird,whole_organism,valid,,33,27,52,38,31,24,,profile_valid,,field_observation,basic_identification|confusion_learning|morphology_learning|species_card,not_recommended,borderline,not_recommended,not_recommended,not_recommended,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:silhouette,Subject is nearly entirely silhouetted against dark foliage | Extremely low lighting conditions | Subject is very distant and small in frame | subject is heavily silhouetted and poorly lit | lack of detail for definitive identification,unusable,low,none,unknown,unknown,unknown,unknown,,,,,,,,,,,,
pmp-policy-review-0026,inaturalist::109106681,109106681,67519608,https://inaturalist-open-data.s3.amazonaws.com/photos/109106681/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/109106681.jpg,Falco tinnunculus,,Eurasian Kestrel,,taxon:birds:000033,472766,joined_from_manifest,bird,whole_organism,valid,,46,40,61,52,39,42,,profile_valid,,field_observation|confusion_learning,basic_identification|morphology_learning|species_card,not_recommended,borderline,borderline,not_recommended,not_recommended,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:silhouette,subject is a very small silhouette in the distance | no diagnostic details visible | extremely distant subject | silhouette only,low,low,low,unknown,unknown,unknown,unknown,"très bonne analyse,",,,,,,,,,,,
pmp-policy-review-0022,inaturalist::108991122,108991122,67457245,https://inaturalist-open-data.s3.amazonaws.com/photos/108991122/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/108991122.jpg,Dendrocopos major,,Great Spotted Woodpecker,,taxon:birds:000039,17871,joined_from_manifest,bird,whole_organism,valid,,53,47,68,53,50,43,,profile_valid,,field_observation|confusion_learning|morphology_learning,basic_identification|species_card,not_recommended,borderline,borderline,borderline,not_recommended,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:general body shape and plumage contrast,"The subject is distant, partially obscured by twigs, and the image lacks sufficient sharpness for diagnostic detail. | distant subject | poor focus | obstructed by branches",low,low,low,unknown,adult,unknown,unknown,bonne analyse/classification de la photo,,,,,,,,,,,
pmp-policy-review-0101,inaturalist::12818748,12818748,9430870,https://inaturalist-open-data.s3.amazonaws.com/photos/12818748/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/12818748.jpeg,Phalacrocorax carbo,,Great Cormorant,,taxon:birds:000028,4270,joined_from_manifest,bird,whole_organism,valid,,75,72,82,71,65,69,,profile_valid,basic_identification|field_observation|confusion_learning,morphology_learning|species_card,,eligible,eligible,eligible,borderline,borderline,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:silhouette and wing shape | back:white thigh patch,long distance to subject limits diagnostic detail | subject is distant | low resolution,medium,medium,medium,unknown,adult,unknown,unknown,"bonne analyse, score un peu trop élevé a mon goût",,,,,,,,,,,
pmp-policy-review-0025,inaturalist::109009770,109009770,67467252,https://inaturalist-open-data.s3.amazonaws.com/photos/109009770/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/109009770.jpeg,Falco tinnunculus,,Eurasian Kestrel,,taxon:birds:000033,472766,joined_from_manifest,bird,whole_organism,valid,,93,96,94,85,92,86,,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,eligible,eligible,eligible,eligible,eligible,not_applicable,global_quality_is_broad_signal_not_selection,breast:heavy streaking on underparts | head:dark malar stripe,,medium,high,high,unknown,adult,unknown,unknown,"bonne photo, bon cadrage, un peu sombre, qualité moyenne, beaucoup zzomé, peu de contexte, espèce claire",,,,,,,,,,,
pmp-policy-review-0006,inaturalist::10333212,10333212,7845544,https://inaturalist-open-data.s3.amazonaws.com/photos/10333212/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/10333212.jpg,Accipiter nisus,,Eurasian Sparrowhawk,,taxon:birds:000032,5106,joined_from_manifest,bird,whole_organism,valid,,75,73,82,73,63,74,,profile_valid,basic_identification|field_observation|confusion_learning|species_card,morphology_learning,,eligible,eligible,eligible,borderline,eligible,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:accipiter silhouette,"Soft focus/low resolution limits detail observation | distant, soft focus",medium,medium,medium,unknown,adult,unknown,unknown,très bonne analyse en effet mauvaise photo de moyen loin et qualité technique pas ouf mais espèce recconnaissable avec critères distinctifs et silhouette,,,,,,,,,,,
pmp-policy-review-0081,inaturalist::122971646,122971646,75176498,https://inaturalist-open-data.s3.amazonaws.com/photos/122971646/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/122971646.jpeg,Cygnus olor,,Mute Swan,,taxon:birds:000023,6921,joined_from_manifest,bird,whole_organism,valid,,84,83,91,70,70,86,,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,eligible,eligible,eligible,eligible,eligible,not_applicable,global_quality_is_broad_signal_not_selection,whole_body:overall white plumage and bulky shape,subject is somewhat small in frame | distant subject partially obscured by vegetation,high,medium,medium,unknown,adult,unknown,unknown,"bonne analyse mais un peu dure, l'espèce est distinctive, avec critères distinctifs assez visibles et elle n'est pas trop loin non plus. j'aurais mis un score un tout petit peu plus haut mais ok",,,,,,,,,,,
pmp-policy-review-0116,inaturalist::13370671,13370671,9763212,https://inaturalist-open-data.s3.amazonaws.com/photos/13370671/original.jpg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/13370671.jpg,Fulica atra,,Eurasian Coot,,taxon:birds:000024,482,joined_from_manifest,bird,whole_organism,valid,,99,100,100,84,92,97,,profile_valid,basic_identification|field_observation|confusion_learning|morphology_learning|species_card,,,eligible,eligible,eligible,eligible,eligible,not_applicable,global_quality_is_broad_signal_not_selection,beak:white frontal shield and bill | whole_body:piebald plumage pattern,"Subject displays leucistic or partial albino plumage, which is an atypical color morph",high,high,high,unknown,adult,unknown,unknown,"super photo avec un individu rare, bon cadrage, bonne qualité, en train de nager",,,,,,,,,,,
pmp-policy-review-0061,inaturalist::115183713,115183713,70810173,https://inaturalist-open-data.s3.amazonaws.com/photos/115183713/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/115183713.jpeg,Streptopelia decaocto,,Eurasian Collared-Dove,,taxon:birds:000079,2969,joined_from_manifest,bird,nest,valid,,57,9,63,18,32,13,83,profile_valid,indirect_evidence_learning,field_observation,basic_identification|confusion_learning|morphology_learning|species_card,not_recommended,borderline,not_recommended,not_recommended,not_recommended,eligible,indirect_evidence_interpretation_applied | global_quality_is_broad_signal_not_selection,nest:nest structure on building,indirect evidence only; bird not clearly identified; image of nest on structure | nest structures are often generic and difficult to identify to species without the occupant,medium,low,low,unknown,unknown,unknown,unknown,"très bonne analyse, on y voit l'espèce aussi donc plus facile d'identification. permettre une catégorisation nest+individu/groupe individus etc serait une bonne piste a explorer",,,,,,,,,,,
pmp-policy-review-0021,inaturalist::108990786,108990786,67457248,https://inaturalist-open-data.s3.amazonaws.com/photos/108990786/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/108990786.jpeg,Parus major,,Great Tit,,taxon:birds:000008,203153,joined_from_manifest,bird,nest,valid,,57,9,63,18,32,13,83,profile_valid,indirect_evidence_learning,field_observation,basic_identification|confusion_learning|morphology_learning|species_card,not_recommended,borderline,not_recommended,not_recommended,not_recommended,eligible,indirect_evidence_interpretation_applied | global_quality_is_broad_signal_not_selection,nest:nest structure in tree branches,"Subject is a nest, which is indirect evidence and often hard to identify to species without additional cues. | The image depicts an obscured nest structure in a tree, making precise identification of the species impossible.",medium,low,low,unknown,unknown,unknown,unknown,"très bonne analyse, nid dans des branches, qualité ok mais compliqué d'identifier. bonne analyse de l'ia le nid est pas caractéristique et hyper reconnaissable donc pas super bon score",,,,,,,,,,,
pmp-policy-review-0109,inaturalist::131285019,131285019,80117787,https://inaturalist-open-data.s3.amazonaws.com/photos/131285019/original.jpeg,/Users/ryelandt/Documents/database/data/raw/inaturalist/palier1-be-birds-50taxa-run003-v11-baseline-sprint6-controlled-120/images/131285019.jpeg,Delichon urbicum,,Western House Martin,,taxon:birds:000042,64705,joined_from_manifest,bird,nest,valid,,92,19,85,26,44,23,89,profile_valid,field_observation|indirect_evidence_learning,,basic_identification|confusion_learning|morphology_learning|species_card,not_recommended,eligible,not_recommended,not_recommended,not_recommended,eligible,indirect_evidence_interpretation_applied | global_quality_is_broad_signal_not_selection,nest:distinctive mud pellet nest construction,identification relies on nest architecture rather than the bird itself | identification based primarily on characteristic nest architecture,high,medium,high,unknown,unknown,unknown,breeding_season,"très bonne analyse, en effet des nids clairement identifibles dans un contexte urbain. qualité technique bof mais permet quand meme identification si on s'y connait en nids, on y voit un individu flou en vol et assez petit",,,,,,,,,,,
